"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"ASNS","CCDC157","CCDC9B","","","","CCDC157","CARHSP1","CPSF6","","","","CCDC9B","CPSF6","ATP6V0D1","","TRIM24","","","","","","","","","","TRIM24","","TGIF1","","","","","","","","","COX7A2L","","","","CD69","CAVIN2","","","","CD44","FAM162A","","","","ATG13","CCDC167","ATXN2L","","","ATP11C","CCNB2","AURKB","","","ASPHD1","CARS1","ATP6V0E2","","TSC22D1"
"ASNSP1","CCDC167","CCNA2","","","","CCDC167","CARMIL2","CPT1A","","","","CCNA2","CPT1A","ATP6V0E1","","TSC22D1","","","","","","","","","","TSC22D1","","THAP9-AS1","","","","","","","","","CPLANE1","","","","CD8A","CBLC","","","","CD69","FAM193A","","","","ATN1","CCDC6","AUP1","","","ATP13A1","CCNC","AXIN1","","","ASPM","CASP7","ATP6V1A","","TSC22D3"
"ASPHD1","CCDC6","CCNB1","","","","CCDC6","CARS1","CRELD2","","","","CCNB1","CRELD2","ATP6V0E2","","TSC22D3","","","","","","","","","","TSC22D3","","TMEM268","","","","","","","","","CPSF4","","","","CD99L2","CBX4","","","","CD83","FAM53C","","","","ATP10B","CCDC9B","AURKA","","","ATP1B1","CCNF","AXIN2","","","ASRGL1","CASZ1","ATP6V1C1","","TSEN15"
"ASPM","CCDC9B","CCNB1IP1","","","","CCDC9B","CASP7","CREM","","","","CCNB1IP1","CREM","ATP6V1A","","TSEN15","","","","","","","","","","TSEN15","","TNFRSF10B","","","","","","","","","CRACR2B","","","","CDC20P1","CCAR2","","","","CD8A","FANCD2","","","","ATP11C","CCNA2","AURKB","","","ATP23","CCNG2","AZI2","","","ATAD1","CAT","ATP6V1D","","TSPYL1"
"ASRGL1","CCNA2","CCNB2","","","","CCNA2","CASZ1","CRTC3","","","","CCNB2","CRTC3","ATP6V1C1","","TSPYL1","","","","","","","","","","TSPYL1","","TNS2-AS1","","","","","","","","","CREB3L2","","","","CDC25B","CCDC113","","","","CD99L2","FARSB","","","","ATP13A1","CCNB1","AXIN1","","","ATP2A3","CCNI","B3GALNT2","","","ATF3","CBARP","ATP7A","","TTC39B"
"ATAD1","CCNB1","CCNF","","","","CCNB1","CAT","CSE1L","","","","CCNF","CSE1L","ATP6V1D","","TTC39B","","","","","","","","","","TTC39B","","TOX2","","","","","","","","","CRTAP","","","","CDC25C","CCDC117","","","","CDC20P1","FBLN1","","","","ATP1B1","CCNB2","AXIN2","","","ATP2B1","CCPG1","B4GALNT1","","","ATF6","CBR1","ATP8","","UBAP2L"
"ATF3","CCNB1IP1","CCNG2","","","","CCNB1IP1","CBARP","CSF1","","","","CCNG2","CSF1","ATP7A","","TUBE1","","","","","","","","","","TUBE1","","TRIB3","","","","","","","","","CRY1","","","","CDC42EP5","CCDC121","","","","CDC25B","FBN3","","","","ATP23","CCNC","AZI2","","","ATP2B4","CCT2","B4GALNT2","","","ATG101","CBR4","ATP8B1","","ULBP1"
"ATF6","CCNB2","CCNI","","","","CCNB2","CBR1","CSNK1A1","","","","CCNI","CSNK1A1","ATP8","","UBAP2L","","","","","","","","","","UBAP2L","","TRIM24","","","","","","","","","CST3","","","","CDCA4","CCDC122","","","","CDC42BPG","FBXL5","","","","ATP2A3","CCNF","B3GALNT2","","","ATP2C2","CCT3","B4GAT1","","","ATG13","CBS","ATP9A","","UNC5B"
"ATG101","CCNC","CCNL2","","","","CCNC","CBR4","CSNK1E","","","","CCNL2","CSNK1E","ATP8B1","","ULBP1","","","","","","","","","","ULBP1","","TSC22D1","","","","","","","","","CSTF3","","","","CDH23","CCDC142","","","","CDC42EP5","FCHSD1","","","","ATP2B1","CCNG2","B4GALNT1","","","ATP5F1A","CCT4","BACH2","","","ATN1","CBX3","ATRIP","","UPP1"
"ATG13","CCNF","CCNYL1","","","","CCNF","CBS","CSRNP2","","","","CCNYL1","CSRNP2","ATP9A","","UNC5B","","","","","","","","","","UNC5B","","TSC22D3","","","","","","","","","CT75","","","","CDH6","CCDC149","","","","CDC73","FDX1","","","","ATP2B4","CCNI","B4GALNT2","","","ATP5F1B","CCT5","BAIAP2L1","","","ATP10B","CCDC12","ATXN2L","","UTP3"
"ATN1","CCNG2","CCPG1","","","","CCNG2","CBX3","CSRNP3","","","","CCPG1","CSRNP3","ATRIP","","UPP1","","","","","","","","","","UPP1","","TSEN15","","","","","","","","","CTDSPL","","","","CDIPT","CCDC171","","","","CDH18","FGD1","","","","ATP2C2","CCPG1","B4GAT1","","","ATP5F1C","CCT6A","BANF1","","","ATP11C","CCDC146","AUP1","","VCP"
"ATP10B","CCNI","CCT2","","","","CCNI","CCDC12","CSRP1-AS1","","","","CCT2","CSRP1-AS1","ATXN2L","","UTP3","","","","","","","","","","UTP3","","TSPYL1","","","","","","","","","CTSZ","","","","CDKN1B","CCDC174","","","","CDH23","FHIP1B","","","","ATP5F1A","CCT3","BACH2","","","ATP5F1D","CCT8","BARD1","","","ATP13A1","CCDC157","AURKA","","VEGFA"
"ATP11C","CCPG1","CCT3","","","","CCPG1","CCDC146","CSTA","","","","CCT3","CSTA","AUP1","","VCP","","","","","","","","","","VCP","","TTC39B","","","","","","","","","CTU1","","","","CDKN2B","CCDC183-AS1","","","","CDIPT","FN1","","","","ATP5F1B","CCT4","BAG3","","","ATP5F1E","CD40","BATF3","","","ATP1B1","CCDC167","AURKB","","VLDLR-AS1"
"ATP13A1","CCT2","CCT4","","","","CCT2","CCDC157","CSTF2T","","","","CCT4","CSTF2T","AURKA","","VEGFA","","","","","","","","","","VEGFA","","TUBE1","","","","","","","","","CUL4B","","","","CDON","CCDC50","","","","CDK4","FNBP1L","","","","ATP5F1C","CCT5","BAIAP2L1","","","ATP5MC1","CD83","BBC3","","","ATP23","CCDC6","AXIN1","","WARS1"
"ATP1B1","CCT3","CCT5","","","","CCT3","CCDC167","CTC1","","","","CCT5","CTC1","AURKB","","VLDLR-AS1","","","","","","","","","","VLDLR-AS1","","TXNIP","","","","","","","","","CXADR","","","","CELSR2","CCDC89","","","","CDKN2B","FOXB1","","","","ATP5F1D","CCT6A","BANF1","","","ATP5MC2","CDC20","BCAR3","","","ATP2A3","CCDC9B","AXIN2","","WBP11"
"ATP23","CCT4","CCT8","","","","CCT4","CCDC6","CTH","","","","CCT8","CTH","AXIN1","","WARS1","","","","","","","","","","WARS1","","UBAP2L","","","","","","","","","CXCR4","","","","CELSR3","CCDC90B","","","","CDON","FOXL2NB","","","","ATP5F1E","CCT8","BARD1","","","ATP5MC3","CDC27","BCL2L13","","","ATP2B1","CCNA2","AZI2","","WDR33"
"ATP2A3","CCT5","CD151","","","","CCT5","CCDC9B","CTR9","","","","CD151","CTR9","AXIN2","","WBP11","","","","","","","","","","WBP11","","ULBP1","","","","","","","","","CYB5A","","","","CENPC","CCDC92","","","","CELSR3","FOXRED2","","","","ATP5MC1","CD40","BATF3","","","ATP5ME","CDC42BPG","BCL2L2","","","ATP2B4","CCNB1","B3GALNT2","","XBP1"
"ATP2B1","CCT6A","CD200","","","","CCT6A","CCNA2","CTTNBP2","","","","CD200","CTTNBP2","AZI2","","WDR33","","","","","","","","","","WDR33","","UNC5B","","","","","","","","","CYP20A1","","","","CENPE","CCNA1","","","","CEMIP","FSTL3","","","","ATP5MC2","CD83","BBC3","","","ATP5MF","CDC42EP1","BCLAF1","","","ATP2C2","CCNB1IP1","B4GALNT1","","YARS1"
"ATP2B4","CCT8","CD24","","","","CCT8","CCNB1","CUL1","","","","CD24","CUL1","B3GALNT2","","XBP1","","","","","","","","","","XBP1","","UPP1","","","","","","","","","CYP4F11","","","","CENPN","CCND1","","","","CENPS","FUCA2","","","","ATP5MC3","CDC20","BCAR3","","","ATP5MG","CDC5L","BDNF","","","ATP5F1A","CCNB2","B4GALNT2","","ZBED3"
"ATP2C2","CD40","CDC20","","","","CD40","CCNB1IP1","CUL2","","","","CDC20","CUL2","B4GALNT1","","YARS1","","","","","","","","","","YARS1","","UTP3","","","","","","","","","CYP4V2","","","","CENPS","CCND3","","","","CEP290","FUNDC2","","","","ATP5ME","CDC27","BCL2L13","","","ATP5MJ","CDC73","BEND7","","","ATP5F1B","CCNC","B4GAT1","","ZFAND1"
"ATP5F1A","CD83","CDC25C","","","","CD83","CCNB2","CUL3","","","","CDC25C","CUL3","B4GALNT2","","ZBED3","","","","","","","","","","ZBED3","","VCP","","","","","","","","","CYTB","","","","CENPW","CCNL2","","","","CEP70","FUT10","","","","ATP5MF","CDC42BPG","BCL2L2","","","ATP5PB","CDCA2","BEST1","","","ATP5F1C","CCNF","BACH2","","ZFP36L1"
"ATP5F1B","CDC20","CDC27","","","","CDC20","CCNC","CUL9","","","","CDC27","CUL9","B4GAT1","","ZFAND1","","","","","","","","","","ZFAND1","","VEGFA","","","","","","","","","DAB2IP","","","","CEP164","CCNYL1","","","","CEPT1","FUZ","","","","ATP5MG","CDC42EP1","BCLAF1","","","ATP5PD","CDCA3","BEX4","","","ATP5F1D","CCNG2","BAG3","","ZMYM3"
"ATP5F1C","CDC27","CDC42EP1","","","","CDC27","CCNF","CYP1A1","","","","CDC42EP1","CYP1A1","BACH2","","ZFP36L1","","","","","","","","","","ZFP36L1","","VLDLR-AS1","","","","","","","","","DBR1","","","","CEP290","CCSAP","","","","CES3","GABBR2","","","","ATP5MJ","CDC5L","BDNF","","","ATP5PF","CDCA8","BGN","","","ATP5F1E","CCNI","BAIAP2L1","","ZNF207"
"ATP5F1D","CDC42BPG","CDC5L","","","","CDC42BPG","CCNG2","CYRIB","","","","CDC5L","CYRIB","BAG3","","ZMYM3","","","","","","","","","","ZMYM3","","WARS1","","","","","","","","","DCAF12L2","","","","CEP70","CCSER2","","","","CETN3","GABPA","","","","ATP5PB","CDC73","BEND7","","","ATP5PO","CDCP1","BICD1","","","ATP5MC1","CCPG1","BANF1","","ZNF358"
"ATP5F1E","CDC42EP1","CDCA2","","","","CDC42EP1","CCNI","DAAM1","","","","CDCA2","DAAM1","BAIAP2L1","","ZNF207","","","","","","","","","","ZNF207","","WBP11","","","","","","","","","DCAF17","","","","CEPT1","CD151","","","","CFAP44","GANAB","","","","ATP5PD","CDCA2","BEST1","","","ATP6V0A1","CDH18","BICDL2","","","ATP5MC2","CCT2","BARD1","","ZNF419"
"ATP5MC1","CDC5L","CDCA3","","","","CDC5L","CCPG1","DAD1","","","","CDCA3","DAD1","BANF1","","ZNF358","","","","","","","","","","ZNF358","","WDR33","","","","","","","","","DCAF8","","","","CERNA2","CD200","","","","CFAP45","GAPDH","","","","ATP5PF","CDCA3","BEX4","","","ATP6V0E1","CDH24","BICRAL","","","ATP5MC3","CCT3","BATF3","","ZNF516"
"ATP5MC2","CDC73","CDCA4","","","","CDC73","CCT2","DAPP1","","","","CDCA4","DAPP1","BARD1","","ZNF419","","","","","","","","","","ZNF419","","XBP1","","","","","","","","","DCTD","","","","CERS5","CD24","","","","CFB","GBA1LP","","","","ATP5PO","CDCA8","BGN","","","ATP7B","CDK1","BIRC2","","","ATP5ME","CCT4","BBC3","","ZNF530"
"ATP5MC3","CDCA2","CDCA8","","","","CDCA2","CCT3","DBF4","","","","CDCA8","DBF4","BATF3","","ZSCAN18","","","","","","","","","","ZSCAN18","","YARS1","","","","","","","","","DCTN1","","","","CES3","CD276","","","","CGREF1","GEMIN8","","","","ATP6V0A1","CDCP1","BICD1","","","ATP8","CDK4","BIRC5","","","ATP5MF","CCT5","BCAR3","","ZNF672"
"ATP5ME","CDCA3","CDCP1","","","","CDCA3","CCT4","DBI","","","","CDCP1","DBI","BBC3","","","","","","","","","","","","","","ZBED3","","","","","","","","","DDB1","","","","CFAP45","CD2AP","","","","CHAC2","GGCX","","","","ATP6V0E1","CDH18","BICDL2","","","ATXN1L","CDKN2D","BLM","","","ATP5MG","CCT6A","BCL2L13","","ZSCAN18"
"ATP5MF","CDCA8","CDH6","","","","CDCA8","CCT5","DCAF10","","","","CDH6","DCAF10","BCAR3","","","","","","","","","","","","","","ZFAND1","","","","","","","","","DDX19B","","","","CGN","CDC23","","","","CHAMP1","GINS3","","","","ATP7B","CDH24","BICRAL","","","ATXN2L","CDKN3","BMAL1","","","ATP5MJ","CCT8","BCL2L2","",""
"ATP5MG","CDCP1","CDK1","","","","CDCP1","CCT6A","DCBLD1","","","","CDK1","DCBLD1","BCL2L13","","","","","","","","","","","","","","ZFP36L1","","","","","","","","","DDX50","","","","CGREF1","CDC25C","","","","CHCHD1","GIT1","","","","ATP8","CDK1","BIRC2","","","AUP1","CEACAM19","BMAL2","","","ATP5PB","CD40","BCLAF1","",""
"ATP5MJ","CDH18","CDKN1A","","","","CDH18","CCT8","DCDC2","","","","CDKN1A","DCDC2","BCL2L2","","","","","","","","","","","","","","ZMYM3","","","","","","","","","DERL1","","","","CHMP4C","CDC34","","","","CHMP7","GLI1","","","","ATXN1L","CDK4","BIRC5","","","AURKA","CEBPZ","BMP4","","","ATP5PD","CD83","BDNF","",""
"ATP5PB","CDK1","CDKN1B","","","","CDK1","CD40","DCTN3","","","","CDKN1B","DCTN3","BCLAF1","","","","","","","","","","","","","","ZNF207","","","","","","","","","DGAT2","","","","CHN1","CDC42BPA","","","","CHPF","GLRX3","","","","ATXN2L","CDKN1A","BLM","","","AURKB","CEMIP","BMP7","","","ATP5PF","CDC20","BEND7","",""
"ATP5PD","CDK4","CDKN2C","","","","CDK4","CD83","DCTPP1","","","","CDKN2C","DCTPP1","BDNF","","","","","","","","","","","","","","ZNF358","","","","","","","","","DGCR11","","","","CHPF","CDC42BPB","","","","CHST6","GNL2","","","","AUP1","CDKN2D","BMAL1","","","AVPR1B","CEND1","BMPER","","","ATP5PO","CDC27","BEST1","",""
"ATP5PF","CDKN1A","CDKN2D","","","","CDKN1A","CDC20","DDIT3","","","","CDKN2D","DDIT3","BEND7","","","","","","","","","","","","","","ZNF419","","","","","","","","","DGCR2","","","","CHRM3","CDC42EP3","","","","CHSY1","GNL3","","","","AURKA","CDKN3","BMAL2","","","AXIN1","CENPA","BMPR1A","","","ATP6V0A1","CDC42BPG","BEX2","",""
"ATP5PO","CDKN2C","CDKN3","","","","CDKN2C","CDC27","DDIT4","","","","CDKN3","DDIT4","BEST1","","","","","","","","","","","","","","ZNF516","","","","","","","","","DHX57","","","","CHST6","CDC42EP4","","","","CILP","GON4L","","","","AURKB","CEACAM19","BMP4","","","AZI2","CENPF","BNC2","","","ATP6V0E1","CDC42EP1","BEX4","",""
"ATP6V0A1","CDKN2D","CEACAM19","","","","CDKN2D","CDC42BPG","DDX23","","","","CEACAM19","DDX23","BEX2","","","","","","","","","","","","","","ZNF530","","","","","","","","","DHX8","","","","CHSY1","CDCA4","","","","CINP","GPX8","","","","AVPR1B","CEBPB","BMPER","","","B3GALNT2","CENPI","BOD1","","","ATP7B","CDC5L","BGN","",""
"ATP6V0E1","CDKN3","CEBPB","","","","CDKN3","CDC42EP1","DDX24","","","","CEBPB","DDX24","BEX4","","","","","","","","","","","","","","ZNF672","","","","","","","","","DIAPH1","","","","CILP","CDCA7","","","","CIPC","GREM1","","","","AXIN1","CEBPZ","BMPR1A","","","B3GAT3","CEP55","BOLA1","","","ATP8","CDC73","BICD1","",""
"ATP7B","CEACAM19","CEBPG","","","","CEACAM19","CDC5L","DDX39A","","","","CEBPG","DDX39A","BGN","","","","","","","","","","","","","","ZSCAN18","","","","","","","","","DIAPH3","","","","CINP","CDH6","","","","CKS1B","GRIN2D","","","","AZI2","CEMIP","BNC2","","","B3GLCT","CEP63","BORA","","","ATXN1L","CDCA2","BICDL2","",""
"ATP8","CEBPB","CELSR2","","","","CEBPB","CDC73","DDX3X","","","","CELSR2","DDX3X","BICD1","","","","","","","","","","","","","","","","","","","","","","","DIDO1","","","","CIP2A","CDK2","","","","CLCN7","GRINA","","","","B3GALNT2","CEND1","BOD1","","","B4GALNT2","CETN2","BORCS5","","","ATXN2L","CDCA3","BICRAL","",""
"ATXN1L","CEBPG","CEND1","","","","CEBPG","CDCA2","DENND1A","","","","CEND1","DENND1A","BICDL2","","","","","","","","","","","","","","","","","","","","","","","DMGDH","","","","CIPC","CDK5","","","","CLDN12","GRSF1","","","","B3GAT3","CENPA","BOLA1","","","B4GALT1","CETN3","BPIFA2","","","AUP1","CDCA8","BIRC2","",""
"ATXN2L","CEMIP","CENPA","","","","CEMIP","CDCA3","DENND4B","","","","CENPA","DENND4B","BICRAL","","","","","","","","","","","","","","","","","","","","","","","DMTF1","","","","CIT","CDKN1B","","","","CLDN15","GTF2H5","","","","B3GLCT","CENPF","BORA","","","B4GALT2","CFAP44","BRAF","","","AURKA","CDCP1","BIRC5","",""
"AUP1","CEND1","CENPC","","","","CEND1","CDCA8","DEPDC1","","","","CENPC","DEPDC1","BIRC2","","","","","","","","","","","","","","","","","","","","","","","DNA2","","","","CKS1B","CELSR2","","","","CLDN4","GUSB","","","","B4GALNT2","CENPI","BORCS5","","","B9D2","CFB","BRAP","","","AURKB","CDH18","BLM","",""
"AURKA","CENPA","CENPE","","","","CENPA","CDCP1","DEPDC1B","","","","CENPE","DEPDC1B","BIRC5","","","","","","","","","","","","","","","","","","","","","","","DNAJB5","","","","CLDN1","CENPB","","","","CLEC2D","GUSBP1","","","","B4GALT1","CEP55","BPIFA2","","","BACH2","CFL1","BRD3OS","","","AVPR1B","CDH24","BLTP3A","",""
"AURKB","CENPF","CENPF","","","","CENPF","CDH18","DHCR7","","","","CENPF","DHCR7","BLM","","","","","","","","","","","","","","","","","","","","","","","DNM3","","","","CLDN12","CENPC","","","","CLIP2","H1-2","","","","B4GALT2","CEP63","BRAF","","","BAIAP2","CFL2","BRD4","","","AXIN1","CDK1","BMAL1","",""
"AVPR1B","CENPI","CENPI","","","","CENPI","CDH24","DHX15","","","","CENPI","DHX15","BLTP3A","","","","","","","","","","","","","","","","","","","","","","","DNMT3B","","","","CLDN15","CENPE","","","","CLP1","H2AJ","","","","B9D2","CETN2","BRAP","","","BAIAP2L2","CHAC2","BRD7","","","AZI2","CDK4","BMAL2","",""
"AXIN1","CEP55","CENPN","","","","CEP55","CDK1","DHX29","","","","CENPN","DHX29","BMAL1","","","","","","","","","","","","","","","","","","","","","","","DNPEP","","","","CLDN4","CENPN","","","","CLPTM1","H2BC21","","","","BACH2","CETN3","BRD3OS","","","BANF1","CHAMP1","BRD8","","","B3GALNT2","CDKN1A","BMP4","",""
"AZI2","CETN2","CENPW","","","","CETN2","CDK4","DHX30","","","","CENPW","DHX30","BMAL2","","","","","","","","","","","","","","","","","","","","","","","DOCK10","","","","CLEC2D","CENPO","","","","CLSTN3","H4C8","","","","BAG3","CFAP44","BRD4","","","BANK1","CHCHD1","BRI3BP","","","B3GAT3","CDKN2C","BMP7","",""
"B3GALNT2","CETN3","CEP164","","","","CETN3","CDKN1A","DHX9","","","","CEP164","DHX9","BMP4","","","","","","","","","","","","","","","","","","","","","","","DOCK3","","","","CLIP2","CENPW","","","","CLTA","HCN2","","","","BAIAP2","CFB","BRD7","","","BARD1","CHCHD7","BRIP1","","","B3GLCT","CDKN2D","BMPER","",""
"B3GAT3","CFAP44","CEP55","","","","CFAP44","CDKN2C","DIRAS2","","","","CEP55","DIRAS2","BMP7","","","","","","","","","","","","","","","","","","","","","","","DOK5","","","","CLPTM1","CEP120","","","","CLUHP3","HDAC2","","","","BAIAP2L2","CFL1","BRI3BP","","","BAZ2A","CHD2","BRPF3","","","B4GALNT2","CDKN3","BMPR1A","",""
"B3GLCT","CFB","CERNA2","","","","CFB","CDKN2D","DISC1","","","","CERNA2","DISC1","BMPER","","","","","","","","","","","","","","","","","","","","","","","DOLK","","","","CLSTN3","CEP128","","","","CMIP","HECTD1","","","","BANF1","CFL2","BRIP1","","","BBC3","CHMP7","BRSK1","","","B4GALT1","CEACAM19","BNC2","",""
"B4GALNT2","CFL1","CERS5","","","","CFL1","CDKN3","DLEU2","","","","CERS5","DLEU2","BMPR1A","","","","","","","","","","","","","","","","","","","","","","","DOLPP1","","","","CLUHP3","CEP164","","","","CNOT2","HECTD4","","","","BANK1","CHAC2","BRPF3","","","BBLN","CHORDC1","BSN","","","B4GALT2","CEBPB","BOD1","",""
"B4GALT1","CFL2","CETN2","","","","CFL2","CEACAM19","DLG4","","","","CETN2","DLG4","BNC2","","","","","","","","","","","","","","","","","","","","","","","DONSON","","","","CMIP","CEP170B","","","","COASY","HELZ2","","","","BARD1","CHAMP1","BRSK1","","","BBS1","CHST2","BSPRY","","","B9D2","CEBPG","BOLA1","",""
"B4GALT2","CHAC1","CFL1","","","","CHAC1","CEBPB","DLGAP5","","","","CFL1","DLGAP5","BOD1","","","","","","","","","","","","","","","","","","","","","","","DOP1B","","","","CNP","CEP78","","","","COG4","HIGD1A","","","","BAZ2A","CHCHD1","BSN","","","BBS2","CHTOP","BTG1","","","BACH2","CEBPZ","BORA","",""
"B9D2","CHAC2","CFL2","","","","CHAC2","CEBPG","DLX1","","","","CFL2","DLX1","BOLA1","","","","","","","","","","","","","","","","","","","","","","","DPH5","","","","CNST","CERCAM","","","","COIL","HIGD2A","","","","BBC3","CHCHD7","BSPRY","","","BCAP31","CHURC1","BTN3A2","","","BAG3","CEMIP","BORCS5","",""
"BACH2","CHAMP1","CGN","","","","CHAMP1","CEBPZ","DMKN","","","","CGN","DMKN","BORA","","","","","","","","","","","","","","","","","","","","","","","DPH5-DT","","","","COA3","CERNA2","","","","COL18A1","HLA-A","","","","BBLN","CHD2","BTG1","","","BCCIP","CIZ1","BUB1","","","BAIAP2","CEND1","BPIFA2","",""
"BAG3","CHCHD1","CHAC1","","","","CHCHD1","CEMIP","DMWD","","","","CHAC1","DMWD","BORCS5","","","","","","","","","","","","","","","","","","","","","","","DPM1","","","","COASY","CERS5","","","","COL4A1","HLA-E","","","","BBS1","CHMP7","BTN3A2","","","BCL2L13","CKAP2","BUB1B","","","BAIAP2L2","CENPA","BRAF","",""
"BAIAP2","CHCHD7","CHCHD7","","","","CHCHD7","CEND1","DNAJA1","","","","CHCHD7","DNAJA1","BPIFA2","","","","","","","","","","","","","","","","","","","","","","","DPY19L1","","","","COG4","CFAP36","","","","COL4A2","HMG20B","","","","BBS2","CHORDC1","BUB1","","","BCL2L2","CKAP2L","BVES","","","BANF1","CENPF","BRAP","",""
"BAIAP2L2","CHD2","CHD2","","","","CHD2","CENPA","DNAJC10","","","","CHD2","DNAJC10","BRAF","","","","","","","","","","","","","","","","","","","","","","","DTD1","","","","COIL","CFAP97","","","","COL6A2","HNRNPDL","","","","BCAP31","CHST2","BUB1B","","","BCL7B","CKAP5","C11orf68","","","BANK1","CENPI","BRD3OS","",""
"BANF1","CHMP7","CHMP4C","","","","CHMP7","CENPF","DNAJC16","","","","CHMP4C","DNAJC16","BRAP","","","","","","","","","","","","","","","","","","","","","","","DUBR","","","","COL18A1","CFI","","","","COL7A1","HOXA10-AS","","","","BCCIP","CHTOP","BVES","","","BCLAF1","CKS2","C19orf25","","","BARD1","CEP55","BRD4","",""
"BANK1","CHORDC1","CHN1","","","","CHORDC1","CENPI","DNAJC8","","","","CHN1","DNAJC8","BRD3OS","","","","","","","","","","","","","","","","","","","","","","","DUS4L","","","","COL4A1","CGN","","","","COL9A1","HOXA9","","","","BCL2L13","CHURC1","C11orf68","","","BDNF","CLCN7","C1GALT1C1","","","BAZ2A","CEP63","BRD7","",""
"BARD1","CHST2","CHORDC1","","","","CHST2","CEP55","DNAL4","","","","CHORDC1","DNAL4","BRD4","","","","","","","","","","","","","","","","","","","","","","","DUSP1","","","","COL4A2","CHD4","","","","COMMD10","HPS1","","","","BCL2L2","CIZ1","C19orf25","","","BEGAIN","CLGN","C1RL-AS1","","","BBC3","CETN2","BRD8","",""
"BAZ2A","CIZ1","CHRM3","","","","CIZ1","CEP63","DNASE2","","","","CHRM3","DNASE2","BRD7","","","","","","","","","","","","","","","","","","","","","","","DUSP12","","","","COL6A2","CHD6","","","","COP1","HSD11B1L","","","","BCL7B","CKAP2","C1GALT1C1","","","BEST1","CLIP4","C1orf43","","","BBLN","CETN3","BRI3BP","",""
"BBC3","CKAP2","CHST2","","","","CKAP2","CETN2","DNTTIP2","","","","CHST2","DNTTIP2","BRD8","","","","","","","","","","","","","","","","","","","","","","","DUSP19","","","","COP1","CHD8","","","","COPRS","HSPG2","","","","BCLAF1","CKAP2L","C1RL-AS1","","","BGN","CLP1","C21orf58","","","BBS1","CFAP44","BRIP1","",""
"BBLN","CKAP2L","CIP2A","","","","CKAP2L","CETN3","DPM2","","","","CIP2A","DPM2","BRI3BP","","","","","","","","","","","","","","","","","","","","","","","DUSP4","","","","COPRS","CHEK1","","","","COPS6","ICE1","","","","BDNF","CKAP5","C1orf43","","","BICDL2","CLTA","C3","","","BBS2","CFB","BRPF3","",""
"BBS1","CKAP5","CIT","","","","CKAP5","CFAP44","DPY19L3","","","","CIT","DPY19L3","BRIP1","","","","","","","","","","","","","","","","","","","","","","","DUSP5","","","","COPS6","CHMP4C","","","","COQ3","IDUA","","","","BEGAIN","CKS2","C21orf58","","","BICRAL","CLTC","C4orf3","","","BCAP31","CFL1","BRSK1","",""
"BBS2","CKS2","CIZ1","","","","CKS2","CFB","DRAM1","","","","CIZ1","DRAM1","BRPF3","","","","","","","","","","","","","","","","","","","","","","","DUSP6","","","","COX18","CHN1","","","","COQ7","IFI6","","","","BEST1","CLCN7","C3","","","BIRC2","CNDP2","C5AR1","","","BCCIP","CFL2","BSN","",""
"BCAP31","CLCN7","CKAP2","","","","CLCN7","CFL1","DSTN","","","","CKAP2","DSTN","BRSK1","","","","","","","","","","","","","","","","","","","","","","","DYNC2I1","","","","COX19","CHPF2","","","","COX17","IFT172","","","","BGN","CLGN","C4orf3","","","BIRC3","CNKSR1","C5orf15","","","BCL2L13","CHAC2","BSPRY","",""
